PM 10,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity,Max Humidity,Max Pressure,Min Pressure,Precipitation
162,102,80,7,62.5,82,29.45,29.33,0
163,99,79,8,62.5,76,29.52,29.37,0
108,96,79,6,64.5,82,29.46,29.35,0
85,93,79,10,68.5,81,29.49,29.42,0
105,93,77,13,67.5,85,29.55,29.45,0
168,97,79,7,67.5,87,29.57,29.44,0
96,95,78,7,66,81,29.46,29.38,0
147,92,79,7,70.5,82,29.5,29.42,0.02
134,93,77,10,64,76,29.47,29.39,0
147,95,78,9,66,79,29.52,29.43,0.02
143,97,77,8,65.5,83,29.55,29.43,0
141,97,75,17,57.5,71,29.53,29.42,0
217,98,75,10,55,77,29.75,29.61,0
147,101,73,12,48,69,29.68,29.55,0
241,100,72,14,47,65,29.64,29.57,0
165,100,72,13,44,57,29.61,29.47,0
71,93,76,13,65,83,29.62,29.52,0.08
139,91,77,16,71.5,89,29.6,29.51,0.02
57,86,76,16,80.5,92,29.62,29.49,0.43
87,96,78,8,69.5,85,29.69,29.57,0.04
77,94,73,12,62.5,83,29.72,29.59,0
90,96,75,12,61,84,29.69,29.58,0
129,97,73,9,56.5,83,29.7,29.56,0
207,96,69,16,49.5,71,29.75,29.66,0
121,96,69,10,50,77,29.82,29.72,0
324,97,69,12,51.5,76,29.88,29.73,0
141,97,74,4,59,81,29.86,29.7,0
266,95,70,13,56,76,29.92,29.74,0
157,93,66,9,48,74,29.85,29.74,0
207,92,69,9,61,82,29.88,29.75,0
83,84,68,9,64,75,29.91,29.77,0.08
216,87,61,12,56.5,87,29.99,29.9,0
225,90,62,9,56.5,84,29.96,29.86,0
159,91,63,4,57,86,30.01,29.89,0
231,91,68,5,63,87,29.94,29.81,0
175,89,66,8,59,85,29.94,29.84,0
161,89,63,5,55.5,87,30.45,29.83,0
205,86,60,9,55,81,29.96,29.86,0
318,89,64,7,60,92,29.95,29.86,0
363,83,51,8,48,80,30.02,29.91,0
240,81,51,7,51.5,81,30.07,29.96,0
330,81,45,14,43,74,30.1,29.95,0
615,81,48,9,47.5,78,30.09,29.95,0
481,83,49,6,49.5,85,30.1,29.97,0
348,82,50,6,51.5,84,30.03,29.91,0
316,78,47,6,48.5,75,30.06,29.94,0
187,79,46,9,49,80,30.07,29.92,0
303,85,52,0,54,85,29.93,29.83,0
130,84,47,14,50,89,29.99,29.89,0
263,91,66,15,54.5,89,29.98,29.44,0.02
255,90,61,7,54.5,89,30.04,29.49,0
343,79,46,7,47.5,79,30.02,29.92,0
218,84,49,0,57.5,87,30.07,29.96,0
237,84,58,8,54,93,30.09,29.66,0.59
302,72,52,2,57.5,94,30.12,29.71,0
158,99,56,12,65.5,98,30.22,29.37,0
191,67,48,9,65.5,95,30.19,30.08,0
251,61,49,2,78.5,100,30.26,30.14,0
224,60,45,2,79.5,98,30.09,29.98,0
257,60,45,6,76,99,30.33,30.09,0
229,62,46,9,75.5,98,30.14,30.01,0
214,67,44,6,66,99,30.04,29.9,0
